diet_group,sex,age_group,mean_ghgs,n_participants
fish,female,20-29,4902.947125081,1329000
fish,female,30-39,4942.664483793,2024000
fish,female,40-49,4927.040172677,1689000
fish,female,50-59,4944.320333791,946000
fish,female,60-69,5103.822518681,492000
fish,female,70-79,4990.762890714,195000
fish,male,20-29,5659.688871226,163000
fish,male,30-39,5327.205952942,412000
fish,male,40-49,5201.802609349,432000
fish,male,50-59,5142.355789303,214000
fish,male,60-69,5153.8266806130005,159000
fish,male,70-79,5303.953641929,68000
meat,female,20-29,6913.346378262,669000
meat,female,30-39,7135.58166656,1350000
meat,female,40-49,7484.151329541,2710000
meat,female,50-59,7586.115661522,2682000
meat,female,60-69,7541.230540435,1456000
meat,female,70-79,7611.196494765,450000
meat,male,20-29,7387.087141033,151000
meat,male,30-39,7594.977983203,304000
meat,male,40-49,7781.512620765,663000
meat,male,50-59,7752.900129514,671000
meat,male,60-69,7835.827297245,634000
meat,male,70-79,8023.873929639,231000
meat100,female,20-29,10191.268743064,393000
meat100,female,30-39,10421.548409817,778000
meat100,female,40-49,11242.124224869,1935000
meat100,female,50-59,11574.401589788,1753000
meat100,female,60-69,11520.473391645,843000
meat100,female,70-79,11990.853394399,274000
meat100,male,20-29,12104.782205645,132000
meat100,male,30-39,11178.862348943,260000
meat100,male,40-49,11493.864090238,616000
meat100,male,50-59,11678.040095756,591000
meat100,male,60-69,11450.175664626,543000
meat100,male,70-79,12263.987428482,168000
meat50,female,20-29,5386.15768943,764000
meat50,female,30-39,5489.000437973,1483000
meat50,female,40-49,5604.987137323,2093000
meat50,female,50-59,5743.81054721,1698000
meat50,female,60-69,5861.660341356,1047000
meat50,female,70-79,5836.04136184,381000
meat50,male,20-29,5842.741220846,131000
meat50,male,30-39,5923.054206147,370000
meat50,male,40-49,5898.524814835,448000
meat50,male,50-59,5932.798636723,410000
meat50,male,60-69,5921.724590471,364000
meat50,male,70-79,6126.166528464,143000
vegan,female,20-29,2383.216383473,487000
vegan,female,30-39,2540.393020847,376000
vegan,female,40-49,2657.602421868,219000
vegan,female,50-59,2520.496825096,106000
vegan,female,60-69,2633.644804226,81000
vegan,female,70-79,2839.875594178,25000
vegan,male,20-29,2843.22830886,198000
vegan,male,30-39,2698.172418304,251000
vegan,male,40-49,2694.366019617,165000
vegan,male,50-59,2524.737409503,62000
vegan,male,60-69,2427.010725764,52000
vegan,male,70-79,2587.986805198,19000
veggie,female,20-29,4319.955997758,3752000
veggie,female,30-39,4367.724164195,3634000
veggie,female,40-49,4386.548303825,2696000
veggie,female,50-59,4370.471444328,1203000
veggie,female,60-69,4472.485087662,536000
veggie,female,70-79,4473.445256478,289000
veggie,male,20-29,4899.777121339,646000
veggie,male,30-39,4807.758162693,1221000
veggie,male,40-49,4610.379492209,961000
veggie,male,50-59,4455.095310198,426000
veggie,male,60-69,4444.84358452,229000
veggie,male,70-79,4612.451445292,158000
